职位名,链接,公司,工作地点,薪资,经验,学历
数据分析 ,https://www.zhipin.com/job_detail/1413383233.html,思特奇,北京,8K-16K,3-5年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413380927.html,智明星通,北京,7K-12K,1-3年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413344909.html,中软国际,广州,5K-6K,1-3年,大专
数据分析 ,https://www.zhipin.com/job_detail/1413404217.html,经纬盈和,北京,5K-6K,1-3年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413346890.html,欣和企业,上海,12K-15K,3-5年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413337361.html,优点创想传媒,深圳,6K-12K,1-3年,大专
数据分析 ,https://www.zhipin.com/job_detail/1413361469.html,软通动力公司,深圳,6K-9K,1-3年,大专
数据分析 ,https://www.zhipin.com/job_detail/1413371026.html,欣和企业,上海,10K-15K,1-3年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413362765.html,中联百文,北京,6K-8K,3-5年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413173085.html,华钦科技,北京,5K-9K,应届生,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413407137.html,美团点评,北京,20K-40K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413401037.html,美团点评,北京,15K-25K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413404446.html,滴滴出行,北京,15K-16K,3-5年,本科
高级数据分析师 ,https://www.zhipin.com/job_detail/1413377430.html,同方鼎欣,北京,20K-25K,5-10年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413399592.html,觅思潘教育,苏州,3K-5K,经验不限,本科
数据分析运营 ,https://www.zhipin.com/job_detail/1413402276.html,软通动力,大连,5K-8K,1-3年,本科
哈尔滨－数据分析运营 ,https://www.zhipin.com/job_detail/1413407783.html,软通动力,哈尔滨,5K-8K,1-3年,大专
沈阳－数据分析运营 ,https://www.zhipin.com/job_detail/1413407807.html,软通动力,沈阳,5K-8K,1-3年,大专
长春－数据分析运营 ,https://www.zhipin.com/job_detail/1413407824.html,软通动力,长春,5K-8K,1-3年,本科
大连－数据分析运营 ,https://www.zhipin.com/job_detail/1413407843.html,软通动力,大连,5K-8K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413401275.html,广州暨大创科,广州,4K-8K,1年以内,大专
数据分析 ,https://www.zhipin.com/job_detail/1413148126.html,首屏科技,杭州,4K-6K,经验不限,本科
数据分析 ,https://www.zhipin.com/job_detail/1413263425.html,票据宝,深圳,15K-30K,1-3年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413210334.html,哦加哦,上海,15K-30K,1-3年,本科
哈尔滨－数据分析运营 ,https://www.zhipin.com/job_detail/1413403200.html,软通动力,哈尔滨,5K-8K,1年以内,大专
数据分析 ,https://www.zhipin.com/job_detail/1413333148.html,软通动力,北京,6K-10K,1-3年,本科
沈阳－数据分析运营 ,https://www.zhipin.com/job_detail/1413403150.html,软通动力,沈阳,5K-8K,1年以内,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413410818.html,盛世多维,北京,4K-8K,经验不限,硕士
高级数据分析师 ,https://www.zhipin.com/job_detail/1413410636.html,盛世多维,北京,7K-14K,1-3年,硕士
数据分析 ,https://www.zhipin.com/job_detail/1413320913.html,外麦王,北京,8K-12K,3-5年,本科
数据分析员（实习生） ,https://www.zhipin.com/job_detail/1413396073.html,重庆立信,重庆,1K-2K,应届生,本科
大连－数据分析运营 ,https://www.zhipin.com/job_detail/1413403107.html,软通动力,大连,5K-8K,1年以内,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413380404.html,上海米童网络,上海,6K-7K,1-3年,大专
数据分析师（分析方向） ,https://www.zhipin.com/job_detail/1413383820.html,in,杭州,10K-20K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413401098.html,太和顾问,北京,6K-7K,经验不限,本科
