职位名,链接,公司,工作地点,薪资,经验,学历
数据分析助理+实习亦可/双休,http://jobs.51job.com/xiamen/90474871.html?s=01&t=0,福建劲祯网络科技有限公司,厦门,3.5-4.5千/月,,大专
数据分析售前顾问,http://jobs.51job.com/guangzhou/91688065.html?s=01&t=0,电讯盈科企业方案,广州,18-36万/年,,
数据分析专员,http://jobs.51job.com/guangzhou-yxq/90347443.html?s=01&t=0,以纯集团电子商务总部,广州-越秀区,4-6千/月,1年经验,本科
数据分析师（8k，有sas经验）,http://jobs.51job.com/fuzhou-csq/92556652.html?s=01&t=0,上海几姆教育科技有限公司,福州-仓山区,0.8-1万/月,3-4年经验,本科
Equity Data Analyst/ 股票数据分析员,http://jobs.51job.com/shenzhen-ftq/86387062.html?s=01&t=0,晨星资讯（深圳）有限公司,深圳-福田区,5-7千/月,,本科
诚招初级证券数据分析师,http://jobs.51job.com/shenzhen-nsq/89247675.html?s=01&t=0,深圳市摩顿大投投资发展有限公司,深圳-南山区,6-8千/月,无工作经验,大专
17759-高级数据分析师（北京）,http://jobs.51job.com/beijing/92515983.html?s=01&t=0,深圳市腾讯计算机系统有限公司,北京,,5-7年经验,本科
电商数据分析专员 可培养 （五险双休）,http://jobs.51job.com/nanjing/92556073.html?s=01&t=0,南京瑾慕信息技术有限公司,南京,4.5-6千/月,,大专
高级数据分析师,http://jobs.51job.com/shenzhen/92555431.html?s=01&t=0,深圳市同致行物业顾问有限公司,深圳,0.8-1.2万/月,1年经验,本科
CRM数据分析员（TRENDIANO品牌）,http://jobs.51job.com/guangzhou-thq/92555639.html?s=01&t=0,赫基国际集团－TRENDIANO事业部,广州-天河区,6-8千/月,1年经验,大专
数据分析主管,http://jobs.51job.com/guangzhou-thq/89221733.html?s=01&t=0,广州迪柯尼服饰股份有限公司,广州-天河区,0.8-1万/月,5-7年经验,
证券外汇数据分析师/资金管理师,http://jobs.51job.com/beijing-cyq/92553416.html?s=01&t=0,兰德威尔（北京）资产管理有限公司,北京-朝阳区,3-4.5万/月,3-4年经验,本科
数据分析员,http://jobs.51job.com/changsha/92548797.html?s=01&t=0,湖南家边购实业有限公司,长沙,3-4.5千/月,2年经验,大专
数据分析员 分析专员,http://jobs.51job.com/nanjing/86133216.html?s=01&t=0,南京惠顺诺宁信息科技有限公司,南京,3-4.5千/月,,大专
数据分析师,http://jobs.51job.com/guangzhou-pyq/85239111.html?s=01&t=0,广州市启尔智企业管理有限公司,广州-番禺区,10-20万/年,3-4年经验,本科
大数据分析师,http://jobs.51job.com/qingdao-hdq/92552292.html?s=01&t=0,青岛东软睿道教育信息技术有限公司,青岛-黄岛区,4-6千/月,,大专
高级数据分析主管,http://jobs.51job.com/shanghai-jdq/87132231.html?s=01&t=0,环球车享汽车租赁有限公司,上海-嘉定区,20-30万/年,3-4年经验,
数据分析专员(J10617),http://jobs.51job.com/beijing-cyq/85653736.html?s=01&t=0,方正宽带网络服务有限公司,北京-朝阳区,4.5-6千/月,,
数据分析,http://jobs.51job.com/shanghai-zbq/70937529.html?s=01&t=0,上海达尔威贸易有限公司,上海-闸北区,6-8千/月,,大专
BI数据分析师-上海,http://jobs.51job.com/shanghai-hkq/92553464.html?s=01&t=0,上海途逸公寓管理有限公司,上海-虹口区,1.5-2.5万/月,5-7年经验,
数据分析师,http://jobs.51job.com/nanjing-glq/92191366.html?s=01&t=0,江苏中堃数据技术有限公司,南京-鼓楼区,1-2万/月,2年经验,本科
链家研究院数据分析师,http://jobs.51job.com/nanjing-glq/92553018.html?s=01&t=0,南京链家房地产经纪有限公司,南京-鼓楼区,0.5-1万/月,1年经验,硕士
银行数据分析类项目经理,http://jobs.51job.com/beijing-hdq/92553477.html?s=01&t=0,北京亿信华辰软件有限责任公司,北京-海淀区,1-2万/月,,本科
数据分析师,http://jobs.51job.com/beijing/92551801.html?s=01&t=0,汽车之家,北京,2.5-3万/月,5-7年经验,本科
数据分析师,http://jobs.51job.com/shenzhen-nsq/88815513.html?s=01&t=0,深圳联合金控风险资产管理有限公司,深圳-南山区,6-8千/月,3-4年经验,
高薪诚聘优秀数据分析员 双休五险一金,http://jobs.51job.com/beijing/92550343.html?s=01&t=0,华壹信融投资管理（北京）有限责任公司,北京,0.8-1万/月,,大专
商品专员/商品管理/商品数据分析,http://jobs.51job.com/shanghai/92407486.html?s=01&t=0,上海佳奥贸易有限公司,上海,6-8千/月,,
数据分析经理,http://jobs.51job.com/guangzhou-thq/82235351.html?s=01&t=0,广州交通集团有限公司,广州-天河区,6-12万/年,2年经验,本科
4G网络数据分析实习,http://jobs.51job.com/chengdu-jjq/92552506.html?s=01&t=0,北京优才众创管理咨询合伙企业（有限合伙）,成都-锦江区,4.5-6千/月,无工作经验,高中
数据分析专员/销售助理,http://jobs.51job.com/xian-blq/92552471.html?s=01&t=0,陕西暖吉通商务有限公司,西安-碑林区,3-4.5千/月,,
