无责底薪诚聘网络渠道销售,上海韬月光电科技有限公司,上海-杨浦区,6-8千/月,07-14
仓库主管,安美特（中国）化学有限公司上海青...,上海-青浦区,1-1.5万/月,07-14
.高薪诚聘业务员,上海边锋泵业制造有限公司,上海-闸北区,0.8-1万/月,07-14
证券营销顾问/证券投资顾问/金融证券销售,海顺证券投资咨询有限公司上海分公司,上海-浦东新区,1-1.5万/月,07-14
安全部副经理,上海淮海商业集团大世界文化运营有...,上海-黄浦区,1-1.2万/月,07-14
行政助理/分行秘书（就近分配+五险一金),太平洋房屋（中国总部）,上海-普陀区,3-4.5千/月,07-14
外贸采购员(汽车零配件）,特力（中国）商贸有限公司,上海,0.8-1万/月,07-14
合生汇店接待,上海雍正文化传播有限公司,上海-杨浦区,3-4.5千/月,07-14
营业担当 (编号90488) 日语必须,上海艾杰飞人力资源有限公司,上海,4.1-7.1千/月,07-14
建材销售经理（浙江、江苏渠道销售）,上海志豪实业有限公司,异地招聘,1-1.5万/月,07-14
招聘国内码头运输搬运工普工分拣员,江西东港航运有限公司,上海-浦东新区,0.8-1万/月,07-14
冲压工程师,萨帕铝型材（上海）有限公司,上海-嘉定区,0.7-1.5万/月,07-14
Stewarding Supervisor 管事部领班,上海新浩隆房地产开发有限公司新浩...,上海,3-4.5千/月,07-14
激光雕刻/普工/技工/油漆工/电工,上海跃顺广告设计有限公司,上海-杨浦区,4.5-6千/月,07-14
儿童产品设计师,苏州迪乐思商贸有限公司,上海-闵行区,0.8-1万/月,07-14
电子工程师,上海卓岚信息科技有限公司,上海,4-6千/月,07-14
项目经理（工装）,上海易企建设发展有限公司,上海-闵行区,0.8-1万/月,07-14
办事处经理,台州市希尔家庭用品有限公司,上海,0.8-1万/月,07-14
广告销售总监-JG,上海大数文化传媒股份有限公司,上海-浦东新区,1.8-3万/月,07-14
H促销员4.5k包吃健康证优先就近分配,上海翱赢文化传播有限公司,上海,3-4.5千/月,07-14
课程顾问（八佰伴校区）,东方童画美术创意中心,上海-浦东新区,6-8千/月,07-14
汽车频道商务主编,上海丽车线互联网信息服务有限公司,上海-黄浦区,1-2万/月,07-14
儿童美术老师（北新泾校区）,东方童画美术创意中心（北新泾校区）,上海-长宁区,4.5-6千/月,07-14
销售经理,上海冷艺展览展示有限公司,上海-静安区,1-1.5万/月,07-14
急聘业务助理/行政助理,上海馥耀气动科技有限公司,上海-浦东新区,3-4.5千/月,07-14
经理助理,上海中远汇丽建筑装潢有限公司,上海-浦东新区,4-4.5千/月,07-14
财务专员,国药控股分销中心有限公司,上海-长宁区,4-6千/月,07-14
Sr. SQE,霍尼韦尔（中国）有限公司,上海,1.5-2万/月,07-14
客服专员/助理（非技术）,上海成雨投资控股集团有限公司,上海-杨浦区,4.5-6.5千/月,07-14
采购部助理,上海绿地优鲜超市有限公司,上海-黄浦区,4.5-5.5千/月,07-14
电话销售,上海其利投资管理有限公司,上海-闵行区,0.8-1万/月,07-14
外贸单证员（周末双休，饭贴，五险一金，年终奖金等）,上海利乾贸易有限公司,上海-普陀区,6-6.5千/月,07-14
Admin/EA 行政/总助,"Specialized Shanghai Co., Ltd. ...",上海-浦东新区,4.5-6千/月,07-14
软件销售,上海上锦制药有限公司,上海-金山区,4-6千/月,07-14
思科产品售前技术支持工程师,赛科斯信息技术（上海）有限公司,上海-闸北区,6-8千/月,07-14
技术服务工程师（自动化工具部）,铭沣工业自动化（上海）有限公司,上海-闸北区,4.5-6千/月,07-14
会计主管,山东宝龙商业物业管理有限公司上海...,上海-浦东新区,0.8-1万/月,07-14
软件开发工程师（天津）,MTC （上海麦汇信息科技有限公司）,异地招聘,6-8千/月,07-14
终端督导（直营经营部）,顾家家居股份有限公司,上海-闸北区,15-20万/年,07-14
Data Analysis Executive,MTM,上海,10-15万/年,07-14
营销团队内勤专员,中国人寿保险股份有限公司上海市分...,上海-杨浦区,4.5-6千/月,07-14
外贸业务员,煊之（上海）科技有限公司,上海-浦东新区,0.6-1万/月,07-14
Pega高级开发工程师,上海微创软件股份有限公司,上海,,07-14
渠道销售代表,上海斜厍空调设备有限公司,上海-宝山区,0.6-1万/月,07-14
行政驾驶员,上海市水利工程集团有限公司,上海,4.5-6千/月,07-14
运营,锐奇控股股份有限公司,上海,6-8千/月,07-14
电话技术支持专员helpdesk,上海你我贷互联网金融信息服务有限...,上海-浦东新区,6-8千/月,07-14
平面设计 ( 闵行 七莘路/秀文路）,奢维斯（上海）实业股份有限公司,上海-闵行区,0.8-1万/月,07-14
机械设计工程师,阁勋（上海）企业管理有限公司,上海-宝山区,6-8千/月,07-14
外贸业务员/销售,上海源明照明科技有限公司,上海-奉贤区,4.5-6千/月,07-14
