标题,房型,房租,房租单位,地址
单间 | 新房出租 小区快速直达地铁 精装修家具家电齐全 看房,主卧(1室)                    20㎡,1800,元/月
"整租 | 象源丽都,新鲜挂牌,附近有地铁,温馨之家",1室1厅1卫                    59㎡,4300,元/月
"整租 | 地铁4号线,朝南带飘窗,房型正气,温馨公主房,拎包入",1室1厅1卫                    45㎡,3800,元/月
整租 | 梅六小区 精装两房 近13号真北站 红星美凯龙 押一,2室1厅1卫                    73㎡,4000,元/月
整租 | 紧邻地铁，适合欧尚超市，长海医院，五角场合生汇，黄兴,2室1厅1卫                    58㎡,4200,元/月
整租 | 全明户型 自住精装房 押一付一 小区环境好 配套齐全,1室1厅1卫                    31㎡,2200,元/月
整租 | 地铁6号线 金桥 全新精装一室 独厨独卫 随时看房,1室0厅1卫                    15㎡,1400,元/月
整租 | 7芳华路 巴黎春天 独立一室户 精装修 独卫浴,1室1厅1卫                    18㎡,2000,元/月
整租 | 新浦江城豪华单间，适合白领居住，随时看房。拎包入住,1室1厅1卫                    50㎡,3500,元/月
"整租 | 香楠小区,全新装修,家电齐全,采光好,设施齐全,整租",1室1厅1卫                    35㎡,2500,元/月
整租 | 万寿新村2房  采光好,2室1厅1卫                    58㎡,1900,元/月
整租 | 7号线锦绣路地铁站 大华锦绣华城十二街区 3室2卫2,3室2厅2卫                    149㎡,6570,元/月
整租 | 懂你的房源 都在这里 地铁11号线秀沿路站 看房方便,3室1厅1卫                    89㎡,4600,元/月
"整租 | 家乐福超市150米，电影院，ktv ,餐厅一应俱全。",3室2厅2卫                    103㎡,5300,元/月
整租 | 精品公寓 精装整租 配置齐全 2号线 拎包入住 付1,1室1厅1卫                    30㎡,2580,元/月
整租 | 九城湖滨，精装小两房，配套齐全，拎包入住！,2室2厅1卫                    70㎡,4000,元/月
整租 | 整租精装一房 6号线地铁旁 直租 有独立卫浴 可短租,1室1厅1卫                    35㎡,1850,元/月
"整租 | 新天地,翠湖天地苑,翠湖大平层,起租业主配全套达芬奇",4室2厅1卫                    366㎡,37000,元/月
单间 | 靠近地铁九号线~交通便利~家具齐全~拎包入住,次卧(4室)                    30㎡,1600,元/月
整租 | 新出地铁房，楼下直通超市、地铁、公交总站，价格真实可,1室1厅1卫                    41㎡,2400,元/月
整租 | 您刚好需要，我刚好专业，为您找一个温馨的家，看房提前,1室1厅1卫                    54㎡,4500,元/月
整租 | 卢湾、打浦桥、上门实拍、近4/9/13号线、老房东全,1室0厅1卫                    28㎡,2600,元/月
"单间 | 汤巷馨村1900全新一室户,可支付,房东直租",主卧(2室)                    23㎡,1900,元/月
整租 | 幸福小镇 3房1厅 精装全配 出租 随时入住,3室1厅1卫                    110㎡,6500,元/月
单间 | 浦江东旭公寓 家私家电齐 干净舒适漂亮 屋子通风采光,主卧(1室)                    20㎡,1400,元/月
整租 | 明天华城 精装修南北通透 朝向 图片真实 拎包即住,2室2厅1卫                    95㎡,3800,元/月
整租 | 全新家具家电，舒适的居住环境，成熟的生活商圈，万达广,1室1厅1卫                    42㎡,2000,元/月
单间 | 老外街 新出合租房 临地铁 菜场 好房子 就等你了,主卧(3室)                    15㎡,1800,元/月
整租 | 开鲁四村 精装修 带固定车位 正规一室一厅 小区,1室1厅1卫                    43㎡,4000,元/月
