职位名,链接,公司,工作地点,薪资,经验,学历
Python高级开发工程师--长期有效,http://jobs.51job.com/guangzhou-yxq/78201876.html?s=01&t=0,广州市坚信信息科技有限公司,广州-越秀区,0.8-1.3万/月,3-4年经验,
Python开发工程师,http://jobs.51job.com/xuzhou/91998847.html?s=01&t=0,江苏里仁软件有限公司,异地招聘,6-8千/月,,本科
(急)R开发工程师/项目/Python工程师,http://jobs.51job.com/shenzhen/92012747.html?s=01&t=0,上海西线教育科技有限公司,深圳,1-1.5万/月,,
技术总监（灵云公有云平台/python/php）,http://jobs.51job.com/beijing/85275616.html?s=01&t=0,北京捷通华声科技股份有限公司,北京,2.5-5万/月,5-7年经验,本科
Python中高级工程师,http://jobs.51job.com/shenzhen-nsq/92013182.html?s=01&t=0,深圳市共济科技股份有限公司,深圳-南山区,1-3.5万/月,,本科
Python高级工程师,http://jobs.51job.com/beijing-hdq/64251436.html?s=01&t=0,精灵在线网络技术（北京）有限公司,北京-海淀区,2.5-3万/月,2年经验,本科
python+dns研发工程师,http://jobs.51job.com/shanghai-xhq/89365243.html?s=01&t=0,上海万雍科技股份有限公司,上海-徐汇区,1-1.5万/月,,
资深Python开发工程师,http://jobs.51job.com/tianjin/92012916.html?s=01&t=0,南大通用,天津,0.6-1万/月,3-4年经验,本科
资深软件开发工程师 - Python/Java,http://jobs.51job.com/nanjing-yhtq/92010490.html?s=01&t=0,趋势科技（中国）有限公司,南京-雨花台区,1.5-2万/月,,本科
python/java开发工程师,http://jobs.51job.com/shenzhen/81510999.html?s=01&t=0,深圳市掌世界网络科技有限公司,深圳,3-4.5千/月,,本科
PYTHON开发工程师,http://jobs.51job.com/guangzhou-thq/91610900.html?s=01&t=0,广州威尔森信息科技有限公司,广州-天河区,0.8-1.5万/月,,
手游后端开发（Python）,http://jobs.51job.com/shanghai-xhq/90042799.html?s=01&t=0,上海象游数码科技有限公司,上海-徐汇区,1-1.5万/月,,
python开发工程师,http://jobs.51job.com/shanghai-pdxq/87163370.html?s=01&t=0,上海乐野网络科技有限公司,上海-浦东新区,0.7-1.5万/月,2年经验,本科
Python软件工程师,http://jobs.51job.com/suzhou-gyyq/68043431.html?s=01&t=0,苏州思佳达信息科技有限公司,苏州-工业园区,3.5-7千/月,1年经验,大专
python开发工程师(大数据方向),http://jobs.51job.com/shanghai/91691620.html?s=01&t=0,上海炫踪网络股份有限公司,上海,1-1.5万/月,,
Python 后台工程师,http://jobs.51job.com/guangzhou-thq/90990437.html?s=01&t=0,广州远云网络科技有限公司,广州-天河区,0.8-1.2万/月,2年经验,本科
python工程师/perl工程师/php工程师,http://jobs.51job.com/guangzhou-lgq/86316309.html?s=01&t=0,广州航旅天空信息科技有限公司,广州-萝岗区,0.5-1万/月,,本科
Python开发工程师（急）,http://jobs.51job.com/shanghai/92005834.html?s=01&t=0,上海爱福窝云技术有限公司,上海,1.2-2.5万/月,2年经验,本科
Python 开发工程师,http://jobs.51job.com/beijing-hdq/75027638.html?s=01&t=0,北京华云星地通科技有限公司,北京-海淀区,0.8-1.5万/月,2年经验,本科
Python开发工程师(应届）,http://jobs.51job.com/nanjing-jnq/90202172.html?s=01&t=0,南京赛宁信息技术有限公司,南京-江宁区,0.7-1万/月,无工作经验,
Python开发,http://jobs.51job.com/shanghai-ypq/79987545.html?s=01&t=0,上海骞云信息科技有限公司,上海-杨浦区,1.2-2.4万/月,2年经验,本科
Python BI 高级开发工程师,http://jobs.51job.com/beijing/90203503.html?s=01&t=0,联众游戏,北京,1.5-2万/月,2年经验,本科
python程序员,http://jobs.51job.com/jinan-gxq/83608224.html?s=01&t=0,山东远思信息科技有限公司,济南-高新区,6-8千/月,1年经验,本科
Python软件工程师,http://jobs.51job.com/suzhou/85561335.html?s=01&t=0,苏州工业园区若态科技有限公司,苏州,0.8-1万/月,3-4年经验,本科
Python开发工程师,http://jobs.51job.com/dalian-gxyq/91697404.html?s=01&t=0,大连领网科技有限公司,大连-高新园区,0.8-1万/月,,大专
python研发工程师,http://jobs.51job.com/chengdu-gxq/92002460.html?s=01&t=0,成都威之道信息技术有限责任公司,成都-高新区,0.5-1万/月,,本科
python软件工程师,http://jobs.51job.com/shenzhen-nsq/86525742.html?s=01&t=0,深圳市丰巨泰科电子有限公司,深圳-南山区,2-2.5万/月,3-4年经验,本科
Python工程师/软件工程师,http://jobs.51job.com/shenzhen/69387810.html?s=01&t=0,深圳市星商电子商务有限公司,深圳,4-8千/月,2年经验,本科
Python研发中级工程师,http://jobs.51job.com/beijing-hdq/82821615.html?s=01&t=0,北京掌控世代科技有限公司,北京-海淀区,1.5-3万/月,,
