标题,租金,房型,租赁方式,装修,区域1,区域2,面积,朝向,住宅类型,小区名,地址,年代,容积率,绿化率,链接
押一付一 无中介 采光好随时看房 免费双周保洁 出行方便,1500,2室1厅1卫,合租,精装修,浦东新区,陆家嘴,17平米,南,普通住宅,崂山三村,崂山三村                                                    ,2015年,暂无,26%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1086270038
别墅毛坯，可办公可自住，价格八千每月，自带花园和别墅,8000,3室2厅3卫,整租,毛坯,浦东新区,孙桥,160平米,南,别墅,长城中环墅,高木桥路219弄                                                    ,2007年,0.65,60%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086199158
无附加费 设施完善 入住立减房租 押一付一 精装修大主卧出租,2290,3室1厅1卫,整租,精装修,闵行区,古美,24平米,西,普通住宅,新时代花园,顾戴路1100弄                                                    ,2003年,1.1,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084631073
2200元 精装两房 装修全新 全明户型 拎包入住 一起合租,2200,1室1厅1卫,整租,精装修,松江区,泗泾,45平米,南北,普通住宅,西南名苑(公寓),泗陈公路501弄                                                    ,2009年,1.1,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082064074
全新精装修，求稳定租客，房东准备长期租，家具齐全，随时看房,2500,1室1厅1卫,整租,精装修,徐汇区,长桥,40平米,南,普通住宅,长桥一村,上中路                                                    ,1988年,1.45,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083910663
眼见为实 南向 1居室 家电齐全 随时看房,2000,1室1厅1卫,整租,精装修,徐汇区,华东理工,43平米,南,普通住宅,化工一四村,梅陇路130号                                                    ,暂无,2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083593154
地铁精装一房+ 干净清爽+性价比高+随时看房（有钥匙）拎包住,2900,1室1厅1卫,整租,精装修,浦东新区,金杨,42平米,南,普通住宅,金杨新村二街坊,金杨路273弄                                                    ,1995年,暂无,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083928433
近13号地铁线 环球港 精装修 中环百联 长风公园 118广,3990,2室1厅1卫,整租,精装修,普陀区,长风,62平米,南,普通住宅,北巷小区,中江路1067弄                                                    ,1996年,2,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1086113553
南广场精装修3房，南北通透双阳台，采光好，配置全，随时看房,8200,3室2厅2卫,整租,精装修,闵行区,莘庄,141平米,南,普通住宅,名都新城(四期),友情路50弄                                                    ,2005年,1.77,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085030274
傲娇的房子呆萌的价格精装修免水费采光好面积大性价比高,4500,1室1厅1卫,整租,精装修,长宁区,西郊,60平米,南,普通住宅,绿园十村,福泉路385弄                                                    ,1993年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083627564
租客免佣，只需房租就行，有宽带，精装两房，家电齐全 拎包入住,2800,2室1厅1卫,整租,精装修,闵行区,浦江镇,70平米,南北,普通住宅,景舒苑三村,浦秀路183弄                                                    ,2005年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084662550
宜家精装修双南大两房，紧邻东航培训基地，配置齐全随时看房,4200,2室1厅1卫,整租,精装修,长宁区,虹桥机场,70平米,南,普通住宅,上航新村,虹桥机场新村301-337号                                                    ,1999年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085324709
"近地铁九号线,精装修,家具家电全装全配,房东诚意出租,价可谈",4800,2室2厅1卫,整租,中等装修,徐汇区,虹梅路,81平米,南,普通住宅,虹梅小区,虹梅路2666弄                                                    ,1995年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083811611
莲康苑精装1室户出租，独立厨卫，带独立厨卫，钥匙看房子,1400,1室1卫,整租,精装修,浦东新区,北蔡,25平米,南,普通住宅,莲康苑,高青路4567弄                                                    ,2014年,1.2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083725180
押一付一 0中介 北欧风随时入住 免费双周保洁 交通便利,2400,3室1厅1卫,合租,精装修,长宁区,虹桥,26平米,南,普通住宅,伊犁小区,伊犁路146弄                                                    ,1982年,1.9,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084278517
玉兰香苑真实房1200至2000大小不等另有二室三室,950,1室1厅1卫,合租,精装修,浦东新区,张东路,35平米,南,普通住宅,玉兰香苑(一期),益江路286弄                                                    ,2004年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085346456
主卧精装月付 0中介 宜家装修 随时看房 实拍图 出行方便,1450,3室1厅1卫,整租,精装修,青浦区,赵巷,16平米,南,普通住宅,万科锦源(公寓),镇泽路18弄                                                    ,2012年,1.16,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1079824572
城市花园、精装修 南北通透2房2卫 干净清爽 有钥匙随时看房,7900,2室2厅2卫,整租,精装修,浦东新区,南码头,122平米,南北,普通住宅,东方城市花园(二期),东方路1881弄                                                    ,2005年,1.75,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084047713
北蔡带厅的一室户 实拍图片 拎包入住,2000,1室1厅1卫,整租,中等装修,浦东新区,北蔡,30平米,南北,普通住宅,虞泽苑,鹏飞路51弄                                                    ,2012年,3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083132208
豪华装修 双南2房 真实图片 看有钥匙 地铁口 《文兰小区》,5800,2室1厅1卫,整租,精装修,浦东新区,塘桥,58平米,南,公寓,文兰小区,蓝村路470弄                                                    ,1992年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082721304
南京西路中凯城市之光，业主自住豪装奢华配置，首租，随时看,19000,3室2厅2卫,整租,精装修,静安区,南京西路,165平米,南北,普通住宅,中凯城市之光,威海路333弄                                                    ,2005年,3.85,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085151055
西新苑 醉白池地铁站附近 随时入住 随时看房 房东诚租,3000,2室1厅1卫,整租,精装修,松江区,松江老城,70平米,南北,普通住宅,西新苑,西新桥路124弄                                                    ,2004年,1.6,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085586929
降！降！降！好房降世了，舒适温馨、干净清爽，此房不可错过,2000,1室1厅1卫,整租,精装修,徐汇区,华东理工,50平米,南,普通住宅,凌云新村,虹梅南路126弄                                                    ,1994年,2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084302383
"梅陇十一村,中装大两房,南北通透,采光通风俱佳,租到就是赚到",3500,2室1厅1卫,整租,精装修,徐汇区,长桥,60平米,南,普通住宅,梅陇十一村,上中西路151弄                                                    ,2001年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083254645
主卧出租来电立减采光好免费双周保洁出行方便0中介押一付一,2300,2室1厅1卫,合租,精装修,静安区,曹家渡,24平米,南,普通住宅,三和花园,延平路123弄                                                    ,1996年,4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083194429
85路公交直达陆家嘴 近华为 精装全配 看房随时 已空关,3500,2室1厅1卫,整租,精装修,上海周边,慈溪,60平米,南,普通住宅,金桥新村,金桥路342号                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084534840
密云小区 南北2房 带有客厅 家具家电全配 毗邻四平路地铁！,4000,2室1厅1卫,整租,精装修,杨浦区,鞍山,62平米,南北,普通住宅,密云小区(杨浦),密云路454弄                                                    ,1996年,2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086063153
