date,o,h,l,c
 2008/01/09,230.95,230.99,222.49,223.8
 2008/01/10,223.22,223.22,214.21,215.54
 2008/01/11,218.46,219.48,215.98,218.27
 2008/01/14,219.15,220.34,217.77,220.31
 2008/01/15,220.73,224.62,220.54,223.96
 2008/01/16,220.77,220.87,215.67,216.11
 2008/01/17,214.24,216.92,213.35,216.65
 2008/01/18,214.15,214.95,212.59,214.79
 2008/01/21,214.84,216.33,213.94,214.27
 2008/01/22,208.07,209.57,204.91,206.54
 2008/01/23,212.59,214.19,211.04,212.62
 2008/01/24,213.12,217.03,212.74,216.73
 2008/01/25,220.18,221.31,218.4,219.81
 2008/01/28,218.99,221.88,218.99,220.37
 2008/01/29,223.49,224.3,222.61,222.61
 2008/01/30,221.02,222.02,220.11,220.16
 2008/01/31,220.02,220.96,218.34,219.46
 2008/02/01,220.65,221.05,218.69,218.83
 2008/02/04,216.07,216.8,215.14,215.75
 2008/02/05,215.63,215.63,214.96,215.49
 2008/02/13,216.19,216.32,213.81,213.95
 2008/02/14,214.84,216.33,214.73,216.29
 2008/02/15,216.22,216.67,215.59,216.47
 2008/02/18,215.41,215.84,214.47,215.64
 2008/02/19,215.72,218.43,215.72,218.43
 2008/02/20,222.11,222.18,219.41,219.88
 2008/02/21,221.86,224.11,221.86,223.63
 2008/02/22,221.56,224.43,221.56,222.53
 2008/02/25,223.66,225.79,223.12,225.78
 2008/02/26,223.01,223.15,219.08,219.55
 2008/02/27,225.05,226.01,224.2,224.7
 2008/02/28,225.05,225.48,223.55,223.65
 2008/02/29,226.08,226.57,225.36,225.5
 2008/03/03,226.63,228.96,226.36,228.53
 2008/03/04,229.03,229.83,226.83,227.21
 2008/03/05,224.04,224.97,223.65,224.76
 2008/03/06,227.02,228.6,227.02,227.94
 2008/03/07,226.5,227.58,226.27,227.55
 2008/03/10,225.97,226.17,224.65,225.16
 2008/03/11,224.94,225.39,224.12,224.45
 2008/03/12,224.92,225.2,223.82,224.2
 2008/03/13,226.47,226.74,225.31,226.29
 2008/03/14,227.89,228.36,227.46,227.76
 2008/03/17,231.09,233.5,231.05,232.41
 2008/03/18,225.8,228.04,225.75,227.36
 2008/03/19,225.54,226.06,225.32,226
 2008/03/20,214.38,214.39,214.34,214.38
 2008/03/21,214.37,214.38,207.14,209.93
 2008/03/24,209.6,209.93,206.49,206.85
 2008/03/25,208.66,210.84,208.19,210.33
 2008/03/26,213.01,213.45,211.66,211.82
 2008/03/27,214.05,214.37,213.22,213.39
 2008/03/28,213.11,213.23,211.38,211.85
 2008/03/31,209.08,209.47,208.59,209.01
 2008/04/01,206.26,206.35,199,203.01
 2008/04/02,200.21,201.91,198,198.93
 2008/04/03,201.76,202.32,201.08,202.27
 2008/04/07,204.85,205.18,203.99,205.09
 2008/04/08,206.09,206.72,204.07,204.73
 2008/04/09,204.73,204.84,202.74,203.21
 2008/04/10,207.57,207.66,206.75,207.13
 2008/04/11,205.58,205.59,203.76,204.21
 2008/04/14,201.12,204.99,201.12,204.95
 2008/04/15,205.84,207.77,205.42,207.73
 2008/04/16,205.89,206.72,205.1,206.41
 2008/04/17,209.03,210.38,208.7,210.01
 2008/04/18,208.37,209.92,208.37,209.58
 2008/04/21,205.44,206.26,203.53,203.69
 2008/04/22,202.72,203.97,202.72,203.01
