喜欢吃萝卜,喜欢吃鱼,喜欢捉耗子,喜欢啃骨头,短尾巴,长耳朵,分类
否,是,是,是,是,是,狗
否,是,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,是,否,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,否,是,否,是,是,狗
是,是,是,是,是,是,狗
否,否,否,否,是,是,狗
否,否,否,是,否,否,狗
否,否,否,是,是,否,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,是,否,猫
否,是,是,否,否,是,猫
否,是,是,否,是,否,猫
否,否,是,否,否,否,猫
否,是,否,否,否,否,猫
否,否,否,否,否,否,猫
否,否,是,否,是,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,是,否,猫
否,是,是,否,否,是,猫
否,是,是,否,是,否,猫
否,否,是,否,否,否,猫
否,是,否,否,否,否,猫
否,否,否,否,否,否,猫
否,否,是,否,是,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
否,否,否,否,是,是,兔子
否,否,否,否,否,否,兔子
是,否,否,否,是,是,兔子
是,否,否,是,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,是,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,否,是,兔子
是,否,否,否,是,否,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
否,否,否,否,是,否,兔子
是,否,否,否,是,是,兔子
是,否,否,否,否,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,是,是,是,兔子
是,否,否,否,是,是,兔子
否,是,是,是,是,是,狗
否,是,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,是,否,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,否,是,否,是,是,狗
是,是,是,是,是,是,狗
否,否,否,否,是,是,狗
否,否,否,是,否,否,狗
否,否,否,是,是,否,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,是,否,猫
否,是,是,否,否,是,猫
否,是,是,否,是,否,猫
否,否,是,否,否,否,猫
否,是,否,否,否,否,猫
否,否,否,否,否,否,猫
否,否,是,否,是,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,是,否,猫
否,是,是,否,否,是,猫
否,是,是,否,是,否,猫
否,否,是,否,否,否,猫
否,是,否,否,否,否,猫
否,否,否,否,否,否,猫
否,否,是,否,是,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
否,否,否,否,是,是,兔子
否,否,否,否,否,否,兔子
是,否,否,否,是,是,兔子
是,否,否,是,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,是,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,否,是,兔子
是,否,否,否,是,否,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
否,否,否,否,是,否,兔子
是,否,否,否,是,是,兔子
是,否,否,否,否,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,是,是,是,兔子
是,否,否,否,是,是,兔子
否,是,是,是,是,是,狗
否,是,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,是,否,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,否,是,否,是,是,狗
是,是,是,是,是,是,狗
否,否,否,否,是,是,狗
否,否,否,是,否,否,狗
否,否,否,是,是,否,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,是,否,猫
否,是,是,否,否,是,猫
否,是,是,否,是,否,猫
否,否,是,否,否,否,猫
否,是,否,否,否,否,猫
否,否,否,否,否,否,猫
否,否,是,否,是,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,是,否,猫
否,是,是,否,否,是,猫
否,是,是,否,是,否,猫
否,否,是,否,否,否,猫
否,是,否,否,否,否,猫
否,否,否,否,否,否,猫
否,否,是,否,是,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
否,否,否,否,是,是,兔子
否,否,否,否,否,否,兔子
是,否,否,否,是,是,兔子
是,否,否,是,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,是,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,否,是,兔子
是,否,否,否,是,否,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
否,否,否,否,是,否,兔子
是,否,否,否,是,是,兔子
是,否,否,否,否,是,兔子
是,否,否,否,是,是,兔子
是,否,否,否,是,是,兔子
是,否,否,是,是,是,兔子
是,否,否,否,是,是,兔子
否,是,是,是,是,是,狗
否,是,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,是,否,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,否,是,否,是,是,狗
是,是,是,是,是,是,狗
否,否,否,否,是,是,狗
否,否,否,是,否,否,狗
否,否,否,是,是,否,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,否,否,是,是,是,狗
否,是,否,是,否,否,狗
否,否,否,是,否,否,狗
否,否,是,是,否,否,狗
否,否,否,是,否,否,狗
否,否,否,是,否,是,狗
否,否,否,是,是,是,狗
否,是,是,否,否,否,猫
否,是,是,否,否,否,猫
否,是,是,否,是,否,猫
