楼层佳+采光好+全配+拎包入住+小区自带商业+生活便利,2900,2室2厅1卫,整租,精装修,松江区,松江新城,88平米,南,公寓,昌鑫花园(公寓),思贤路1855弄                                                    ,2006年,0.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087333238
恒陇丽晶两房两厅只要8000元，好房不等人，欢迎看房,8000,2室2厅1卫,整租,精装修,普陀区,曹杨,80平米,南北,普通住宅,恒陇丽晶公寓,中山北路3329号                                                    ,2008年,2.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086407661
无附加费 设施完善 入住立减房租 押一付一 精装修大主卧出租,4000,3室1厅1卫,合租,精装修,浦东新区,杨东,41平米,南,普通住宅,陆家嘴中央公寓,东绣路99弄                                                    ,2006年,2.1,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085167449
环境好 精装修 随时看房 可拎包入住 房东急租 欢迎来电看房,3400,1室1厅1卫,整租,精装修,青浦区,青浦新城,46平米,南,普通住宅,桂花园,青湖路1070弄                                                    ,2008年,1.2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085736091
"前滩高品质小区,全新精装大三房出租,环境宜人安全舒适",8500,3室2厅2卫,整租,精装修,浦东新区,杨思,135平米,南北,普通住宅,上南翡翠,杨南路399弄                                                    ,2006年,暂无,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086881707
娄山关路精装月付 无中介 宜家装修拎包入住出行方便 实拍图,2400,3室1厅1卫,整租,精装修,长宁区,仙霞,25平米,东,普通住宅,虹桥华庭,古北路555弄                                                    ,2004年,2.9,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086143897
新出大三房 店长点赞 近中环百联 乐购广场 13号线 钥匙房,5500,3室1厅1卫,整租,精装修,嘉定区,丰庄,95平米,南,普通住宅,嘉善坊,铜川路2285弄                                                    ,1995年,2.4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087593101
裕鸿佳苑出租二房三房随时看房子方便精装修,1500,3室2厅1卫,整租,精装修,崇明区,崇明主城,100平米,南北,普通住宅,裕鸿佳苑,裕盛路111弄                                                    ,2009年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087659282
精装月付 无中介 全装全配 独立卫浴 免费双周保洁 出行方便,2200,3室1厅1卫,整租,精装修,闵行区,金虹桥,24平米,南,普通住宅,永兆豪庭(东区),虹梅路2588弄                                                    ,2008年,2.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084398314
康健路 新出精装大两房 干净全明 家具全配 户型正1/9号线,5000,2室1厅1卫,整租,精装修,徐汇区,康健,70平米,南,普通住宅,康健路100弄小区,康健路100弄                                                    ,1990年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087093628
全新装修 精装一室一厅 南北通透 近347号镇坪站 拎包入住,3550,1室1厅1卫,整租,精装修,普陀区,光新,42平米,南,普通住宅,石泉一村,石泉一村                                                    ,1992年,1.8,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1087360016
镇房实价 居家陪读不二之选 高档小区精装低于市场价2千元,8500,2室2厅1卫,整租,精装修,徐汇区,斜土路,108平米,南北,公寓,日晖新城,零陵北路9弄                                                    ,2004年,3.2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086127567
春申新村五村干净清爽2900/月近入口位置看房方便,2900,1室1厅1卫,整租,中等装修,上海周边,苏州,43平米,南,公寓,春申新村,春申路                                                    ,1996年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085987862
董家渡 南浦大桥、小南门地铁站无中介押一付一南北通透免费wi,2350,3室1厅1卫,合租,精装修,黄浦区,黄浦滨江,25平米,南,普通住宅,悦来小区,悦来街38弄                                                    ,1994年,暂无,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084512468
嘉华苑 朝南户型 精装修一房 全装全配 出门7号线 随时看房,4800,1室1厅1卫,整租,精装修,宝山区,大华,65平米,南北,普通住宅,嘉华苑(宝山),新村路789弄                                                    ,2003年,1.26,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086363065
合租押一付一0中介来电减房租拎包入住双周保洁 出行方便,2100,3室1厅1卫,整租,精装修,闵行区,老闵行,23平米,南,普通住宅,凤庆小区,景谷路64弄1-6号                                                    ,1989年,1.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085783093
~南方新村2楼精装修大一房，全装全配、首茨出租、近地鉄、商城,2950,1室1厅1卫,整租,精装修,闵行区,古美,60平米,南,普通住宅,南方新村,古美西路86弄                                                    ,1995年,2,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086928589
押一付一 近地铁12号 楼层 看房随时  有钥匙 电梯房,8300,3室2厅2卫,整租,豪华装修,浦东新区,高行,128平米,南,普通住宅,证大家园(三期),巨峰路399弄                                                    ,2006年,1.31,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085828080
品质小区带会所精装全配，首茨出租，业主全权委托小朱看房有钥匙,11000,2室2厅2卫,整租,豪华装修,长宁区,天山,106平米,南北,公寓,天山河畔花园,水城路883弄                                                    ,2005年,2.5,52%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087701019
信用租房免费送宽带 房源真实有效 看房有钥匙 交通便利,4800,2室1厅1卫,整租,豪华装修,杨浦区,中原,55平米,南,普通住宅,市光三村,包头路                                                    ,1990年,1.9,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1086657180
押一付一0中介宜家装修随时看房 免费双周保洁 紧邻地铁龙阳路,1900,3室1厅1卫,合租,精装修,静安区,南京西路,17平米,南,普通住宅,国际丽都城,北京西路758弄                                                    ,2005年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087035983
精装修大主卧出租 无附加费 设施完善 入住立减房租 押一付一,1650,3室1厅1卫,整租,精装修,闵行区,莘庄,18平米,南,普通住宅,江南苑,莘朱路222弄                                                    ,2002年,1.71,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086721247
0中介 独立卫生间设施完善 押一付一 免费WIFI 紧邻地铁,2600,3室1厅1卫,合租,精装修,徐汇区,建国西路,28平米,南,普通住宅,明园世纪城,复兴中路1199号                                                    ,2003年,3.9,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084281986
新高苑三期，精装整租一房，近地铁，随时看房,3200,1室1厅1卫,整租,精装修,浦东新区,高行,55平米,南,普通住宅,新高苑佳园,高宝路68弄                                                    ,2010年,2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087118795
精装全配 户型全明 小区环境好 靠近地铁七八号线 可押一付一,3800,1室1厅1卫,整租,精装修,浦东新区,上南,48平米,南,普通住宅,洪山花园,洪山路300弄1-22号                                                    ,1996年,1.71,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087043044
租客免佣 八号线江月路 隔壁沃尔玛 精装修 付一押 有宽带,4000,3室2厅1卫,整租,精装修,闵行区,浦江镇,110平米,南北,普通住宅,景舒苑一村,浦秀路359弄                                                    ,2007年,1.39,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086714818
金科路盛大，精装修高档白领，一房公寓，特适合张江高科上班族,3500,1室2厅1卫,整租,精装修,浦东新区,孙桥,50平米,南,公寓,盛大天地青春里,华夏中路958弄                                                    ,2015年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1087618135
上海壹街区豪装全配超大三房，房东婚房出租，希望居家客户！,13000,3室2厅2卫,整租,精装修,静安区,南京西路,156平米,南北,普通住宅,上海壹街区,凤阳路588弄                                                    ,2004年,3.8,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1088054280
品家都市星城精装3房，8300元/月，莘庄地铁，首出租，急租,8300,3室2厅2卫,整租,精装修,闵行区,莘庄,138平米,南北,普通住宅,都市星城,富都路111弄                                                    ,2006年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086968490
城市经典高迪出租，环境优雅，南北通透2房，小区中心位置！！！,9000,3室2厅2卫,整租,精装修,浦东新区,张江,154平米,南北,公寓,城市经典高迪,青桐路618弄                                                    ,2006年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086092039
找房真心累？ 专注租房5年，必定给你找到合适的房子随时看房,2000,1室1厅1卫,整租,精装修,浦东新区,三林,25平米,南,普通住宅,三林新村,永泰路133弄                                                    ,1990年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084041735
主卧出租押一付一无中介紧邻地铁张江金科路广兰路精装修独立卫浴,3200,3室1厅1卫,整租,精装修,浦东新区,张东路,35平米,东,普通住宅,川杨紫薇苑,中科路2635弄                                                    ,1998年,1.9,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084901450
